iter	Passed	Remaining
1061	5762	37649
1062	5767	37639
1063	5772	37632
1064	5777	37624
1065	5783	37616
1066	5788	37609
1067	5793	37601
1068	5798	37592
1069	5803	37584
1070	5808	37576
1071	5812	37566
1072	5817	37557
1073	5822	37548
1074	5827	37540
1075	5832	37530
1076	5837	37521
1077	5842	37512
1078	5846	37502
1079	5851	37494
1080	5856	37486
1081	5861	37476
1082	5866	37469
1083	5872	37465
1084	5877	37456
1085	5881	37447
1086	5887	37440
1087	5891	37431
1088	5896	37421
1089	5901	37413
1090	5906	37403
1091	5911	37393
1092	5916	37386
1093	5921	37377
1094	5925	37368
1095	5930	37359
1096	5935	37351
1097	5940	37341
1098	5945	37331
1099	5950	37323
1100	5955	37315
1101	5959	37305
1102	5964	37297
1103	5969	37287
1104	5974	37278
1105	5979	37269
1106	5984	37261
1107	5988	37252
1108	5993	37243
1109	5998	37235
1110	6003	37226
1111	6008	37216
1112	6013	37208
1113	6018	37199
1114	6022	37190
1115	6027	37182
1116	6032	37174
1117	6037	37166
1118	6042	37157
1119	6048	37155
1120	6053	37145
1121	6058	37136
1122	6064	37135
1123	6068	37126
1124	6073	37118
1125	6079	37111
1126	6083	37102
1127	6088	37093
1128	6093	37083
1129	6098	37077
1130	6103	37068
1131	6108	37059
1132	6113	37052
1133	6118	37043
1134	6123	37035
1135	6128	37028
1136	6133	37019
1137	6137	37010
1138	6142	36999
1139	6147	36991
1140	6151	36980
1141	6156	36970
1142	6161	36962
1143	6165	36952
1144	6170	36943
1145	6175	36934
1146	6180	36927
1147	6185	36918
1148	6190	36908
1149	6195	36901
1150	6199	36892
1151	6204	36882
1152	6209	36875
1153	6214	36866
1154	6219	36857
1155	6223	36848
1156	6229	36841
1157	6233	36831
1158	6238	36822
1159	6245	36825
1160	6250	36817
1161	6255	36812
1162	6261	36807
1163	6265	36798
1164	6270	36789
1165	6275	36781
1166	6280	36772
1167	6285	36763
1168	6290	36756
1169	6295	36748
1170	6299	36739
1171	6307	36746
1172	6312	36737
1173	6317	36729
1174	6321	36720
1175	6326	36713
1176	6331	36705
1177	6336	36698
1178	6342	36692
1179	6346	36683
1180	6352	36676
1181	6357	36671
1182	6362	36663
1183	6367	36655
1184	6372	36649
1185	6377	36640
1186	6381	36630
1187	6386	36622
1188	6391	36614
1189	6396	36606
1190	6401	36597
1191	6406	36590
1192	6411	36584
1193	6416	36575
1194	6421	36568
1195	6427	36565
1196	6432	36557
1197	6437	36551
1198	6443	36546
1199	6447	36537
1200	6452	36529
1201	6457	36522
1202	6462	36515
1203	6467	36506
1204	6472	36499
1205	6477	36491
1206	6482	36483
1207	6489	36485
1208	6494	36477
1209	6498	36467
1210	6503	36462
1211	6508	36454
1212	6513	36447
1213	6519	36442
1214	6524	36433
1215	6529	36425
1216	6534	36419
1217	6539	36411
1218	6544	36402
1219	6549	36395
1220	6554	36389
1221	6559	36380
1222	6564	36373
1223	6569	36367
1224	6574	36358
1225	6578	36350
1226	6584	36343
1227	6588	36334
1228	6593	36325
1229	6598	36317
1230	6603	36309
1231	6608	36301
1232	6612	36293
1233	6617	36286
1234	6622	36277
1235	6627	36269
1236	6632	36261
1237	6637	36254
1238	6642	36246
1239	6647	36238
1240	6652	36229
1241	6656	36221
1242	6661	36212
1243	6666	36205
1244	6671	36196
1245	6676	36188
1246	6680	36179
1247	6685	36172
1248	6691	36166
1249	6695	36157
1250	6700	36148
1251	6705	36139
1252	6710	36131
1253	6715	36124
1254	6719	36116
1255	6724	36107
1256	6729	36100
1257	6734	36091
1258	6738	36081
1259	6743	36071
1260	6749	36069
1261	6754	36060
1262	6758	36051
1263	6763	36045
1264	6768	36037
1265	6773	36028
1266	6778	36021
1267	6783	36012
1268	6787	36004
1269	6792	35996
1270	6797	35989
1271	6802	35980
1272	6806	35970
1273	6812	35968
1274	6817	35959
1275	6822	35951
1276	6827	35945
1277	6832	35936
1278	6836	35926
1279	6841	35917
1280	6846	35910
1281	6851	35901
1282	6855	35893
1283	6861	35890
1284	6866	35882
1285	6871	35873
1286	6876	35865
1287	6880	35857
1288	6885	35848
1289	6890	35838
1290	6895	35831
1291	6899	35823
1292	6904	35816
1293	6909	35809
1294	6914	35802
1295	6919	35794
1296	6924	35787
1297	6929	35779
1298	6934	35771
1299	6939	35762
1300	6944	35755
1301	6948	35747
1302	6953	35738
1303	6958	35731
1304	6963	35723
1305	6968	35715
1306	6973	35708
1307	6978	35701
1308	6982	35692
1309	6987	35684
1310	6992	35678
1311	6997	35670
1312	7002	35661
1313	7007	35654
1314	7012	35646
1315	7016	35638
1316	7021	35630
1317	7026	35622
1318	7031	35613
1319	7035	35605
1320	7041	35602
1321	7046	35594
1322	7050	35585
1323	7056	35578
1324	7060	35570
1325	7065	35561
1326	7070	35553
1327	7077	35558
1328	7082	35549
1329	7087	35542
1330	7091	35534
1331	7096	35526
1332	7101	35519
1333	7106	35513
1334	7111	35504
1335	7116	35496
1336	7121	35489
1337	7126	35481
1338	7130	35472
1339	7135	35465
1340	7140	35458
1341	7145	35450
1342	7150	35442
1343	7155	35435
1344	7160	35428
1345	7165	35420
1346	7170	35414
1347	7174	35406
1348	7179	35397
1349	7184	35391
1350	7189	35383
1351	7194	35375
1352	7199	35367
1353	7204	35360
1354	7209	35353
1355	7213	35345
1356	7218	35338
1357	7223	35329
1358	7229	35325
1359	7234	35320
1360	7239	35314
1361	7244	35306
1362	7249	35299
1363	7254	35291
1364	7258	35283
1365	7263	35275
1366	7268	35268
1367	7273	35261
1368	7278	35253
1369	7283	35245
1370	7287	35237
1371	7292	35229
1372	7297	35220
1373	7302	35214
1374	7306	35206
1375	7311	35198
1376	7318	35200
1377	7323	35192
1378	7328	35185
1379	7333	35178
1380	7338	35172
1381	7343	35165
1382	7348	35160
1383	7353	35153
1384	7358	35145
1385	7363	35138
1386	7368	35130
1387	7373	35123
1388	7377	35115
1389	7382	35109
1390	7387	35100
1391	7392	35092
1392	7397	35086
1393	7402	35079
1394	7407	35071
1395	7412	35065
1396	7417	35059
1397	7422	35051
1398	7427	35044
1399	7432	35038
1400	7437	35030
1401	7442	35023
1402	7447	35017
1403	7452	35010
1404	7457	35004
1405	7462	34998
1406	7467	34991
1407	7472	34983
1408	7477	34976
1409	7482	34969
1410	7486	34961
1411	7491	34952
1412	7497	34951
1413	7502	34943
1414	7507	34936
1415	7513	34934
1416	7518	34927
1417	7522	34919
1418	7527	34912
1419	7532	34904
1420	7537	34896
1421	7542	34888
1422	7547	34881
1423	7551	34874
1424	7556	34865
1425	7561	34857
1426	7565	34849
1427	7570	34841
1428	7575	34834
1429	7580	34828
1430	7585	34820
1431	7590	34812
1432	7595	34807
1433	7600	34800
1434	7604	34791
1435	7609	34784
1436	7614	34776
1437	7619	34771
1438	7626	34773
1439	7631	34767
1440	7637	34762
1441	7642	34756
1442	7647	34748
1443	7651	34739
1444	7656	34731
1445	7661	34724
1446	7665	34715
1447	7670	34707
1448	7675	34700
1449	7680	34693
1450	7684	34684
1451	7689	34677
1452	7694	34670
1453	7699	34662
1454	7703	34653
1455	7708	34646
1456	7713	34638
1457	7717	34630
1458	7723	34624
1459	7727	34616
1460	7732	34608
1461	7737	34601
1462	7742	34595
1463	7747	34589
1464	7752	34583
1465	7758	34577
1466	7762	34570
1467	7767	34562
1468	7772	34555
1469	7777	34547
1470	7781	34539
1471	7786	34533
1472	7791	34526
1473	7796	34517
1474	7801	34509
1475	7806	34506
1476	7811	34500
1477	7816	34491
1478	7822	34489
1479	7827	34482
1480	7832	34475
1481	7837	34468
1482	7842	34463
1483	7847	34455
1484	7852	34449
1485	7856	34441
1486	7861	34432
1487	7866	34424
1488	7871	34418
1489	7875	34411
1490	7880	34402
1491	7885	34395
1492	7890	34388
1493	7894	34380
1494	7899	34372
1495	7904	34364
1496	7908	34356
1497	7913	34348
1498	7918	34342
1499	7923	34335
1500	7928	34327
1501	7933	34320
1502	7937	34313
1503	7942	34305
1504	7947	34298
1505	7952	34291
1506	7957	34284
1507	7962	34277
1508	7967	34271
1509	7972	34264
1510	7976	34257
1511	7982	34251
1512	7987	34244
1513	7991	34237
1514	7996	34228
1515	8001	34221
1516	8005	34213
1517	8010	34204
1518	8016	34203
1519	8022	34199
1520	8026	34191
1521	8032	34189
1522	8037	34181
1523	8042	34175
1524	8047	34170
1525	8052	34164
1526	8057	34157
1527	8062	34149
1528	8069	34151
1529	8074	34146
1530	8079	34140
1531	8085	34135
1532	8090	34129
1533	8095	34122
1534	8100	34116
1535	8105	34109
1536	8110	34103
1537	8115	34099
1538	8120	34092
1539	8125	34084
1540	8130	34078
1541	8135	34071
1542	8139	34062
1543	8144	34055
1544	8149	34049
1545	8154	34042
1546	8159	34036
1547	8165	34031
1548	8170	34025
1549	8175	34019
1550	8180	34013
1551	8185	34006
1552	8189	33998
1553	8195	33993
1554	8200	33988
1555	8205	33983
1556	8211	33978
1557	8216	33974
1558	8221	33966
1559	8227	33963
1560	8232	33956
1561	8236	33949
1562	8242	33944
1563	8248	33944
1564	8253	33938
1565	8259	33933
1566	8263	33925
1567	8268	33918
1568	8273	33911
1569	8279	33909
1570	8284	33903
1571	8289	33897
